embedding,classifier,n_seeds,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std
csdr1_raw4_catflags_filtered_embs_chronos_bolt_tiny_trn_val_tst_ctx200_bandgr,knn,3,"[42, 100, 200]",0.8073152337858222,1.3597399555105182e-16,0.6465486964296308,0.0,0.5417186968384252,0.0,0.5696404621548657,0.0,0.7869733775339166,0.0,0.8073152337858222,1.3597399555105182e-16,0.7889886565833165,0.0
csdr1_raw4_catflags_filtered_embs_chronos_bolt_tiny_trn_val_tst_ctx200_bandgr,logistic,3,"[42, 100, 200]",0.7086475615887381,0.0,0.5489350489710181,0.0,0.6756905098687506,1.3597399555105182e-16,0.5797224998123649,0.0,0.8277534669434751,1.3597399555105182e-16,0.7086475615887381,0.0,0.7478619324669454,1.3597399555105182e-16
csdr1_raw4_catflags_filtered_embs_chronos_t5_tiny_trn_val_tst_ctx200_bandgr,knn,3,"[42, 100, 200]",0.8568376068376068,0.0,0.7985710469655943,0.0,0.6227043132205576,0.0,0.6719428565700936,0.0,0.8488653725765697,0.0,0.8568376068376068,0.0,0.8464996049539769,1.3597399555105182e-16
csdr1_raw4_catflags_filtered_embs_chronos_t5_tiny_trn_val_tst_ctx200_bandgr,logistic,3,"[42, 100, 200]",0.7497486173956762,0.0,0.5746790612956667,0.0,0.7295741515371305,0.0,0.6166770619957046,0.0,0.8431826208259907,0.0,0.7497486173956762,0.0,0.779486266006627,0.0
csdr1_raw_embs_moiral_small_trn_val_tst_ctx200_pdt64_psz16_bandgr,knn,3,"[42, 100, 200]",0.808572146807441,1.3597399555105182e-16,0.6621975066233317,0.0,0.5094603368095258,0.0,0.5542595524552827,0.0,0.7871995527344996,1.3597399555105182e-16,0.808572146807441,1.3597399555105182e-16,0.7818039321378992,0.0
csdr1_raw_embs_moiral_small_trn_val_tst_ctx200_pdt64_psz16_bandgr,logistic,3,"[42, 100, 200]",0.705379587732529,0.0,0.5442948883061476,0.0,0.6799341368947142,0.0,0.5791086340626138,0.0,0.8179402975717934,1.3597399555105182e-16,0.705379587732529,0.0,0.7416170344366576,0.0
hf_csdr1_multiband_raw4_embeddings_astromer_1_subclass_pad_correct,knn,3,"[42, 100, 200]",0.6434939759036145,0.0,0.1300501965476565,0.0,0.1407994469721463,0.0,0.12198470038543659,1.6996749443881478e-17,0.4768502961166073,0.0,0.6434939759036145,0.0,0.538709934036983,0.0
hf_csdr1_multiband_raw4_embeddings_astromer_1_subclass_pad_correct,logistic,3,"[42, 100, 200]",0.0731325301204819,0.0,0.1466725933535436,0.0,0.1645745351777659,0.0,0.071985380848464,0.0,0.4785010252421234,0.0,0.0731325301204819,0.0,0.08741427514661042,1.6996749443881478e-17
hf_csdr1_multiband_raw4_embeddings_astromer_2_gr_sampling_True,knn,3,"[42, 100, 200]",0.8230266465560584,1.3597399555105182e-16,0.6604012643465121,0.0,0.48847017954054345,6.798699777552591e-17,0.5372326780074943,0.0,0.8000995567866426,0.0,0.8230266465560584,1.3597399555105182e-16,0.803681848099837,1.3597399555105182e-16
hf_csdr1_multiband_raw4_embeddings_astromer_2_gr_sampling_True,logistic,3,"[42, 100, 200]",0.6481900452488688,0.0,0.4855110160004111,0.0,0.6681649423795207,1.3597399555105182e-16,0.5207286915886182,0.0,0.8170778393401998,0.0,0.6481900452488688,0.0,0.6969598334932264,1.3597399555105182e-16
random,knn,3,"[42, 100, 200]",0.6481927710843374,0.0,0.1197736027666118,0.0,0.1402870392974488,0.0,0.11950085271987292,1.6996749443881478e-17,0.4729629775877325,0.0,0.6481927710843374,0.0,0.5387310326009023,0.0
random,logistic,3,"[42, 100, 200]",0.0939759036144578,0.0,0.1444421965119885,0.0,0.1277470535144168,0.0,0.075587663836701,0.0,0.4992870655679353,0.0,0.0939759036144578,0.0,0.12067514767221992,1.6996749443881478e-17
