,precision,recall,f1-score,support
EW,0.662303664921466,0.045098039215686274,0.08444592790387183,5610.0
EA,0.11424100156494522,0.08558030480656506,0.09785522788203753,853.0
RRab,0.05003207184092367,0.18795180722891566,0.0790273556231003,415.0
RRc,0.13135068153655513,0.11030176899063475,0.11990950226244344,961.0
RRd,0.010347682119205299,0.2840909090909091,0.019968051118210862,88.0
RS CVn,0.028093245666467422,0.16725978647686832,0.048106448311156604,281.0
LPV,0.03033980582524272,0.2717391304347826,0.05458515283842795,92.0
accuracy,0.07313253012048193,0.07313253012048193,0.07313253012048193,0.07313253012048193
macro avg,0.14667259335354363,0.16457453517776596,0.07198538084846408,8300.0
weighted avg,0.47850102524212346,0.07313253012048193,0.08741427514661045,8300.0
