,precision,recall,f1-score,support
EW,0.674244348488697,0.9463458110516934,0.7874517947196678,5610.0
EA,0.0782122905027933,0.016412661195779603,0.027131782945736434,853.0
RRab,0.07894736842105263,0.007228915662650603,0.013245033112582781,415.0
RRc,0.07894736842105263,0.015608740894901144,0.026064291920069503,961.0
RRd,0.0,0.0,0.0,88.0
RS CVn,0.0,0.0,0.0,281.0
LPV,0.0,0.0,0.0,92.0
accuracy,0.6434939759036145,0.6434939759036145,0.6434939759036145,0.6434939759036145
macro avg,0.1300501965476565,0.14079944697214639,0.12198470038543664,8300.0
weighted avg,0.47685029611660734,0.6434939759036145,0.538709934036983,8300.0
