,precision,recall,f1-score,support
EW,0.9608858211101524,0.6201967700018564,0.7538357400722022,5387.0
EA,0.6062992125984252,0.8482252141982864,0.7071428571428572,817.0
RRab,0.4774193548387097,0.7455919395465995,0.5821042281219272,397.0
RRc,0.6,0.5961123110151187,0.5980498374864572,926.0
RRd,0.08393285371702638,0.42168674698795183,0.14,83.0
RS CVn,0.14576802507836992,0.6739130434782609,0.23969072164948454,276.0
LPV,0.5242718446601942,0.7714285714285715,0.6242774566473989,70.0
accuracy,0.6481900452488688,0.6481900452488688,0.6481900452488688,0.6481900452488688
macro avg,0.4855110160004111,0.6681649423795208,0.5207286915886182,7956.0
weighted avg,0.8170778393401998,0.6481900452488688,0.6969598334932263,7956.0
