,precision,recall,f1-score,support
EW,0.8459119496855346,0.9487655466864674,0.894391460320238,5387.0
EA,0.8227665706051873,0.6988984088127295,0.7557908669755129,817.0
RRab,0.7345679012345679,0.5994962216624685,0.6601941747572816,397.0
RRc,0.7248743718592965,0.6231101511879049,0.670150987224158,926.0
RRd,0.23529411764705882,0.04819277108433735,0.08,83.0
RS CVn,0.32,0.057971014492753624,0.09815950920245399,276.0
LPV,0.9393939393939394,0.44285714285714284,0.6019417475728155,70.0
accuracy,0.8230266465560583,0.8230266465560583,0.8230266465560583,0.8230266465560583
macro avg,0.6604012643465121,0.48847017954054345,0.5372326780074943,7956.0
weighted avg,0.8000995567866426,0.8230266465560583,0.8036818480998369,7956.0
