,precision,recall,f1-score,support
EW,0.6729923337941435,0.9545454545454546,0.7894154934768187,5610.0
EA,0.08208955223880597,0.012895662368112544,0.022289766970618033,853.0
RRab,0.0,0.0,0.0,415.0
RRc,0.08333333333333333,0.014568158168574402,0.024800708591674048,961.0
RRd,0.0,0.0,0.0,88.0
RS CVn,0.0,0.0,0.0,281.0
LPV,0.0,0.0,0.0,92.0
accuracy,0.6481927710843374,0.6481927710843374,0.6481927710843374,0.6481927710843374
macro avg,0.11977360276661184,0.1402870392974488,0.11950085271987297,8300.0
weighted avg,0.4729629775877325,0.6481927710843374,0.5387310326009023,8300.0
