,precision,recall,f1-score,support
EW,0.6994906621392191,0.07344028520499109,0.1329246652685917,5610.0
EA,0.0995260663507109,0.123094958968347,0.11006289308176101,853.0
RRab,0.056428571428571425,0.19036144578313252,0.08705234159779614,415.0
RRc,0.10341643582640812,0.11654526534859522,0.1095890410958904,961.0
RRd,0.004332129963898917,0.06818181818181818,0.008146639511201629,88.0
RS CVn,0.039444850255661065,0.19217081850533807,0.06545454545454546,281.0
LPV,0.008456659619450317,0.13043478260869565,0.01588352084712111,92.0
accuracy,0.09397590361445783,0.09397590361445783,0.09397590361445783,0.09397590361445783
macro avg,0.14444219651198856,0.12774705351441684,0.07558766383670106,8300.0
weighted avg,0.49928706556793534,0.09397590361445783,0.12067514767221996,8300.0
