,recall,f1-score,support,precision
EW,0.9995246583481877,0.8064237766750396,5610.0,0.6758537587994118
RRc,0.0,0.0,961.0,0.0
RRd,0.0,0.0,88.0,0.0
macro avg,0.14284506228510088,0.11531491668570602,8300.0,0.14416958459039217
LPV,0.0,0.0,92.0,0.0
accuracy,0.6756224899598392,0.6756224899598392,0.6756224899598392,0.6756224899598392
RRab,0.0,0.0,415.0,0.0
EA,0.0003907776475185619,0.00078064012490242,853.0,0.3333333333333333
weighted avg,0.6756224899598392,0.5451449726715079,8300.0,0.49106902652988355
RS CVn,0.0,0.0,281.0,0.0
