,precision,recall,f1-score,support
EW,0.6759884281581485,0.9996434937611408,0.8065583201495757,5610.0
EA,1.0,0.0011723329425556857,0.00234192037470726,853.0
RRab,0.0,0.0,0.0,415.0
RRc,0.0,0.0,0.0,961.0
RRd,0.0,0.0,0.0,88.0
RS CVn,0.0,0.0,0.0,281.0
LPV,0.0,0.0,0.0,92.0
accuracy,0.6757831325301205,0.6757831325301205,0.6757831325301205,0.6757831325301205
macro avg,0.23942691830830692,0.14297368952909947,0.11555717721775471,8300.0
weighted avg,0.55967410626111,0.6757831325301205,0.5453963655564754,8300.0
