,recall,f1-score,support,precision
EW,0.000168058652688429,0.0001181618070795983,0.0,0.00010042845197611674
RRc,0.0,0.0,0.0,0.0
RRd,0.0,0.0,0.0,0.0
macro avg,9.329944075067187e-05,0.0001715963638000655,0.0,0.06735710678389996
LPV,0.0,0.0,0.0,0.0
accuracy,0.0001502673649306494,0.0001502673649306494,0.0001502673649306494,0.0001502673649306494
RRab,0.0,0.0,0.0,0.0
EA,0.0005526430489930031,0.0011039918519696293,0.0,0.4714045207910317
weighted avg,0.0001502673649306494,0.0001839643168664113,0.0,0.04851112189501221
RS CVn,0.0,0.0,0.0,0.0
