,f1-score,support,recall,precision
RRc,0.7171409715038605,926.0,0.6648668106551475,0.7783490234469967
macro avg,0.5801813426575629,7956.0,0.5248000290135232,0.7940997288868058
RRd,0.13832519442937238,83.0,0.08032128514056225,0.5
EW,0.9071069643670572,5387.0,0.9670812449724645,0.8541370378977454
LPV,0.7062262958280657,70.0,0.5666666666666667,0.937061646363972
RS CVn,0.09963556429687048,276.0,0.053140096618357495,0.7987616099071208
accuracy,0.8461957432545667,0.8461957432545667,0.8461957432545667,0.8461957432545667
weighted avg,0.8255480106784088,7956.0,0.8461957432545667,0.84005625254258
EA,0.800787401574803,817.0,0.7462260301917585,0.863960141187864
RRab,0.6920470066029117,397.0,0.5952980688497062,0.826428643403942
