,precision,recall,f1-score,support
EW,0.8540265704444809,0.9665862260998701,0.9068268895855103,5387.0
EA,0.8642149929278642,0.7478580171358629,0.8018372703412073,817.0
RRab,0.8327526132404182,0.6020151133501259,0.6988304093567251,397.0
RRc,0.7756653992395437,0.6609071274298056,0.7137026239067056,926.0
RRd,0.5,0.08433734939759036,0.14432989690721648,83.0
RS CVn,0.7894736842105263,0.05434782608695652,0.1016949152542373,276.0
LPV,0.9302325581395349,0.5714285714285714,0.7079646017699115,70.0
accuracy,0.8460281548516843,0.8460281548516843,0.8460281548516843,0.8460281548516843
macro avg,0.7923379740289097,0.5267828901326832,0.5821695153030734,7956.0
weighted avg,0.8396285504362266,0.8460281548516843,0.8255538595394044,7956.0
