,f1-score,support,recall,precision
RRc,0.002447630199416457,0.0,0.0030965893689858235,0.0031168670557516496
macro avg,0.0033863893684908182,0.0,0.002569712567137925,0.005427096459554098
RRd,0.00849193168218244,0.0,0.005679572539650983,0.0
EW,0.00022649841595843696,0.0,0.00038143765874441545,0.00010945794840620758
LPV,0.0073930448583198645,0.0,0.006734350297014714,0.010853592047241872
RS CVn,0.008188271564426473,0.0,0.0045189098874081415,0.03227346908382227
accuracy,0.00023700579225290598,0.00023700579225290598,0.00023700579225290598,0.00023700579225290598
weighted avg,0.0004400981188828851,0.0,0.00023700579225290598,0.001258829166234821
EA,0.0007726824904923577,0.0,0.0015265840011317456,0.0008617984081405189
RRab,0.004973503068071524,0.0,0.005175830397119189,0.008934677420652343
